4.601, 2.000, 14.000, -108.000, -181.585, 502.090, 252094.230, 185.257
4.848, 0.000, 102.000, -102.000, -112.140, 38.950, 1517.108, 112.140
4.953, 0.000, 93.000, -99.000, -111.946, 43.984, 1934.578, 111.946
5.066, 0.000, 143.000, -100.000, -113.306, 49.945, 2494.553, 113.306
4.928, 0.000, 31.000, -97.500, -113.130, 53.611, 2874.138, 113.130
4.699, 0.000, 104.000, -100.000, -109.318, 33.927, 1151.038, 109.318
4.744, 0.000, 124.000, -103.000, -110.973, 34.110, 1163.460, 110.973
4.863, 0.000, 129.000, -104.000, -113.054, 37.951, 1440.243, 113.054
4.995, 0.000, 150.000, -102.000, -112.898, 44.180, 1951.895, 112.898
4.749, 0.000, 95.000, -107.000, -111.796, 34.169, 1167.491, 111.796
